CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,latitude,longitude,Number
uvi,Manggarai,mqy,Austronesian,uvi,YAM,Diachronic Atlas of Comparative Linguistics,-8.55748,120.329,0.451058494757185
mangat,Buru,bqw,Austronesian,maŋa-t,YAM,Diachronic Atlas of Comparative Linguistics,7.01091,10.8617,0.790081495334015
ubi,Eastern Fijian,,Austronesian,uβi,YAM,Diachronic Atlas of Comparative Linguistics,,,0.49811202737003
uhi,Hawaiian,haw,Austronesian,uhi,YAM,Diachronic Atlas of Comparative Linguistics,19.6297,-155.43,0.071505336852049
ngangarangi,Maori,mri,Austronesian,ngangarangi,YAM,Diachronic Atlas of Comparative Linguistics,-38.2881,176.541,0.693723043190093
uhi,Rapanui,,Austronesian,ʔuhi,YAM,Diachronic Atlas of Comparative Linguistics,,,0.191272395485938
uhi,Rotuman,rtm,Austronesian,ʔuhi,YAM,Diachronic Atlas of Comparative Linguistics,-12.5008,177.066,0.212433126771046
ufi,Samoan,smo,Austronesian,ufi,YAM,Diachronic Atlas of Comparative Linguistics,-13.92,-171.83,0.00533756965040695
ufi,Tahitian,tah,Austronesian,ufi,YAM,Diachronic Atlas of Comparative Linguistics,-17.6485,-149.45,0.420776297867513
ufi,Tongan,ton,Austronesian,ʔufi,YAM,Diachronic Atlas of Comparative Linguistics,-21.17,-175.25,0.426989761793133
ampun,Trukese,,Austronesian,ampun,YAM,Diachronic Atlas of Comparative Linguistics,,,0.0796634722911574
iamm,Marshallese,mah,Austronesian,[iāmᵚ],YAM,Diachronic Atlas of Comparative Linguistics,3.12965,170.463,0.330273382265337
kep,Ponapean,,Austronesian,kēp,YAM,Diachronic Atlas of Comparative Linguistics,,,0.443400143810104
u,Cemuhî,cam,Austronesian,u,YAM,Diachronic Atlas of Comparative Linguistics,-20.8489,165.13,0.70344350234935
auh,Paama,pma,Austronesian,auh,YAM,Diachronic Atlas of Comparative Linguistics,-16.4755,168.237,0.943845634210732
sesul,Sawai,szw,Austronesian,sɛsul,YAM,Diachronic Atlas of Comparative Linguistics,0.51111,128.086,0.600903405430503
mu,A'jië,,Austronesian,mʌu,YAM,Diachronic Atlas of Comparative Linguistics,,,0.358339843490475
tetu,Kilivila,kij,Austronesian,tetu,YAM,Diachronic Atlas of Comparative Linguistics,-8.72574,151.072,0.979148926103468
maho,Motu,meu,Austronesian,maho,YAM,Diachronic Atlas of Comparative Linguistics,-9.67492,147.424,0.886345543041718
kai,Lau,llu,Austronesian,kai,YAM,Diachronic Atlas of Comparative Linguistics,-8.51018,160.872,0.710406713284675
dago,Chamorro,cha,Austronesian,dago,YAM,Diachronic Atlas of Comparative Linguistics,14.3307,145.276,0.137057621818388
uvi,Malagasy (Merina),,Austronesian,uvi,YAM,Diachronic Atlas of Comparative Linguistics,,,0.111795918355783
uwi,Javanese,jav,Austronesian,uwi,YAM,Diachronic Atlas of Comparative Linguistics,-0.572307,110.885,0.66077941363964
tila,Madurese,,Austronesian,tila,YAM,Diachronic Atlas of Comparative Linguistics,,,0.539188166552376
gadong,Acehnese,,Austronesian,gadông,YAM,Diachronic Atlas of Comparative Linguistics,,,0.946920972406173
phaj21,Cham (Hainan),,Austronesian,pʰaj²¹,YAM,Diachronic Atlas of Comparative Linguistics,,,0.925371780737687
ubi,Indonesian,ind,Austronesian,ubi,YAM,Diachronic Atlas of Comparative Linguistics,-7.33458,109.716,0.0285754336811097
sakut,Timugon,,Austronesian,sakut,YAM,Diachronic Atlas of Comparative Linguistics,,,0.496861065462748
suhat,Batak Toba,bbc,Austronesian,suhat,YAM,Diachronic Atlas of Comparative Linguistics,2.35498,99.1761,0.180882803040171
