audiofile,audiofile2,audiofile3,country,documentationscore,eastlimit,grammar15,iso6393,latitude,lexicon15,linktext2,linkurl2,longitude,name,northlimit,numberofspeakers,numSpeakers,region,southlimit,texts15,title,westlimit,linktext4,linkurl4,linktext,linktext3,linkurl,linkurl3
AC1-417-A1,,,Vanuatu,5,169.301,1,tnl,-19.491191,4,See OLAC information about Lenakel,http://www.language-archives.org/language/tnl,169.264984,Lenakel,-19.403,11500,1.00,pacific,-19.549,0,Lenakel,169.221,See the wikipedia entry for Lenakel,http://en.wikipedia.org/wiki/Lenakel_language,,,,
AS1-001-A,AS1-002-A,AS1-005-A,Vanuatu,12,168.569,2,llp,-17.552391,4,See OLAC information about Nakanamanga,http://www.language-archives.org/language/llp,168.387451,Nakanamanga,-16.867,9500,0.83,pacific,-17.629,4,Nakanamanga,168.214,See the wikipedia entry for Nakanamanga,http://en.wikipedia.org/wiki/Nakanamanga_language,,,,
MFD7-002-A,,,Vanuatu,8,167.483,1,upv,-16.035255,3,See OLAC information about Uripiv-Wala-Rano-Atchin,http://www.language-archives.org/language/upv,167.380829,Uripiv-Wala-Rano-Atchin,-15.908,9000,0.78,pacific,-16.128,2,Uripiv-Wala-Rano-Atchin,167.278,See the wikipedia entry for Uripiv-Wala-Rano-Atchin,http://en.wikipedia.org/wiki/Uripiv-Wala-Rano-Atchin_language,,,,
AM2-010-A,,,Vanuatu,0,167.93,0,nnd,-15.429853,0,See OLAC information about West Ambae,http://www.language-archives.org/language/nnd,167.714882,West Ambae,-15.369,8700,0.76,pacific,-15.487,0,West Ambae,167.684,See the wikipedia entry for West Ambae,http://en.wikipedia.org/wiki/West_Ambae_language,,,,
CS2-01-A,CS2-01-A,,Vanuatu,11,168.265,5,app,-15.677254,,See OLAC information about Apma,http://www.language-archives.org/language/app,168.173218,Apma,-15.623,7800,0.68,pacific,-15.897,2,Apma,168.113,See the wikipedia entry for Apma,http://en.wikipedia.org/wiki/Apma_language,,,,
AC1-225-A,,,Vanuatu,10,169.493,2,tnp,-19.460118,2,See OLAC information about Whitesands,http://www.language-archives.org/language/tnp,169.350128,Whitesands,-19.418,7500,0.65,pacific,-19.534,2,Whitesands,169.27,See the wikipedia entry for Whitesands,http://en.wikipedia.org/wiki/Whitesands_language,,,,
AC1-417-A1,,,Vanuatu,0,168.206,0,lml,-15.379543,0,See OLAC information about Hano,http://www.language-archives.org/language/lml,168.153992,Hano,-15.461,6500,0.57,pacific,-15.625,0,Hano,168.129,See the wikipedia entry for Hano,http://en.wikipedia.org/wiki/Hano_language,,,,
NT5-200501-A,NT1-201501-01,NT1-2004-A,Vanuatu,5,168.594,3,erk,-17.7006,4,See OLAC information about South Efate,http://www.language-archives.org/language/erk,168.377,South Efate,-17.585,6000,0.52,pacific,-17.83,5,Nafsan,168.159,,,,,,
AC1-232-A,,,Vanuatu,15,168.369,5,pma,-16.486131,5,See OLAC information about Paama,http://www.language-archives.org/language/pma,168.239136,Paama,-16.436,6000,0.52,pacific,-16.542,1,Paama,168.212,See the wikipedia entry for Paama,http://en.wikipedia.org/wiki/Paama_language,,,,
AM2-014-A,,,Vanuatu,0,168.219,0,mmg,-16.159283,0,See OLAC information about North Ambrym,http://www.language-archives.org/language/mmg,168.143005,North Ambrym,-16.102,5250,0.46,pacific,-16.247,0,North Ambrym,168.061,See the wikipedia entry for North Ambrym,http://en.wikipedia.org/wiki/North_Ambrym_language,,,,
